 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     1      0.120152160000E+09      0.198900000000E+34      0.361774866461E+13      0.297000732540E+14      0.197136567575E+07     -0.240130913563E+06      0.131818121025E+00      0.000000000000E+00
     1      0.120782880000E+09      0.198900000000E+34      0.485759541285E+13      0.295226391650E+14      0.195958834907E+07     -0.322426714764E+06      0.131818121025E+00      0.000000000000E+00
     1      0.121413600000E+09      0.198900000000E+34      0.608892979187E+13      0.292934700953E+14      0.194437707242E+07     -0.404157500795E+06      0.131818121025E+00      0.000000000000E+00
     1      0.122044320000E+09      0.198900000000E+34      0.730959403181E+13      0.290129676368E+14      0.192575850179E+07     -0.485180047991E+06      0.131818121025E+00      0.000000000000E+00
     1      0.122675040000E+09      0.198900000000E+34      0.851744906100E+13      0.286816233374E+14      0.190376526405E+07     -0.565352373787E+06      0.131818121025E+00      0.000000000000E+00
     1      0.123305760000E+09      0.198900000000E+34      0.971037825441E+13      0.283000178394E+14      0.187843589979E+07     -0.644533985537E+06      0.131818121025E+00      0.000000000000E+00
     1      0.123936480000E+09      0.198900000000E+34      0.108862911428E+14      0.278688198617E+14      0.184981479575E+07     -0.722586126701E+06      0.131818121025E+00      0.000000000000E+00
     1      0.124567200000E+09      0.198900000000E+34      0.120431270760E+14      0.273887850286E+14      0.181795210709E+07     -0.799372020009E+06      0.131818121025E+00      0.000000000000E+00
     1      0.125197920000E+09      0.198900000000E+34      0.131788588341E+14      0.268607545451E+14      0.178290366943E+07     -0.874757107137E+06      0.131818121025E+00      0.000000000000E+00
     1      0.125828640000E+09      0.198900000000E+34      0.142914961795E+14      0.262856537229E+14      0.174473090109E+07     -0.948609284515E+06      0.131818121025E+00      0.000000000000E+00
     1      0.126459360000E+09      0.198900000000E+34      0.153790893452E+14      0.256644903591E+14      0.170350069537E+07     -0.102079913482E+07      0.131818121025E+00      0.000000000000E+00
     1      0.127090080000E+09      0.198900000000E+34      0.164397324510E+14      0.249983529701E+14      0.165928530341E+07     -0.109120015375E+07      0.131818121025E+00      0.000000000000E+00
     1      0.127720800000E+09      0.198900000000E+34      0.174715668436E+14      0.242884088839E+14      0.161216220751E+07     -0.115968897174E+07      0.131818121025E+00      0.000000000000E+00
