 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     2      0.523500753599E+08      0.397800000000E+34     -0.141393026607E+14      0.488900494626E+13      0.324419833439E+06      0.938403686926E+06      0.622723075742E-01     -0.215299432780E-01
     2      0.529807953599E+08      0.397800000000E+34     -0.139223660501E+14      0.547642276986E+13      0.363400672765E+06      0.924006895086E+06      0.613166022558E-01     -0.241166067485E-01
     2      0.536115153599E+08      0.397800000000E+34     -0.136810405812E+14      0.605424873314E+13      0.401744788609E+06      0.907991732292E+06      0.602535121281E-01     -0.266609937825E-01
     2      0.542422353599E+08      0.397800000000E+34     -0.134157490766E+14      0.662147079815E+13      0.439385029092E+06      0.890386271591E+06      0.590849016003E-01     -0.291586489998E-01
     2      0.548729553599E+08      0.397800000000E+34     -0.131269563297E+14      0.717709551363E+13      0.476255476661E+06      0.871221370686E+06      0.578128198090E-01     -0.316051990217E-01
     2      0.555036753599E+08      0.397800000000E+34     -0.128151682903E+14      0.772014975454E+13      0.512291563487E+06      0.850530617797E+06      0.564394970202E-01     -0.339963601231E-01
     2      0.561343953599E+08      0.397800000000E+34     -0.124809311770E+14      0.824968242589E+13      0.547430184484E+06      0.828350272742E+06      0.549673407136E-01     -0.363279457286E-01
     2      0.567651153599E+08      0.397800000000E+34     -0.121248305199E+14      0.876476612800E+13      0.581609807769E+06      0.804719203346E+06      0.533989313582E-01     -0.385958737361E-01
     2      0.573958353599E+08      0.397800000000E+34     -0.117474901346E+14      0.926449878020E+13      0.614770582358E+06      0.779678817288E+06      0.517370178850E-01     -0.407961736579E-01
     2      0.580265553599E+08      0.397800000000E+34     -0.113495710280E+14      0.974800520006E+13      0.646854442915E+06      0.753272989500E+06      0.499845128650E-01     -0.429249935663E-01
     2      0.586572753599E+08      0.397800000000E+34     -0.109317702406E+14      0.102144386355E+14      0.677805211363E+06      0.725547985260E+06      0.481444874023E-01     -0.449786068297E-01
     2      0.592879953599E+08      0.397800000000E+34     -0.104948196249E+14      0.106629822473E+14      0.707568695198E+06      0.696552379093E+06      0.462201657488E-01     -0.469534186303E-01
     2      0.599187153599E+08      0.397800000000E+34     -0.100394845626E+14      0.110928505386E+14      0.736092782310E+06      0.666336969642E+06      0.442149196530E-01     -0.488459722500E-01
     2      0.605494353599E+08      0.397800000000E+34     -0.956656262377E+13      0.115032907300E+14      0.763327532164E+06      0.634954690650E+06      0.421322624500E-01     -0.506529551139E-01
     2      0.611801553599E+08      0.397800000000E+34     -0.907688216962E+13      0.118935840774E+14      0.789225263172E+06      0.602460518203E+06      0.399758429050E-01     -0.523712045822E-01
     2      0.618108753599E+08      0.397800000000E+34     -0.857130090091E+13      0.122630471297E+14      0.813740636112E+06      0.568911374410E+06      0.377494388197E-01     -0.539977134780E-01
     2      0.624415953599E+08      0.397800000000E+34     -0.805070435552E+13      0.126110329248E+14      0.836830733436E+06      0.534366027676E+06      0.354569504145E-01     -0.555296353438E-01
     2      0.630723153599E+08      0.397800000000E+34     -0.751600435715E+13      0.129369321222E+14      0.858455134342E+06      0.498884989749E+06      0.331023934960E-01     -0.569642894162E-01
     2      0.637030353599E+08      0.397800000000E+34     -0.696813741805E+13      0.132401740691E+14      0.878575985467E+06      0.462530409726E+06      0.306898924233E-01     -0.582991653101E-01
